0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:07:52 +0530] "GET /Airline-Reservation-System/my_bookings.jsp HTTP/1.1" 200 5248
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:07:58 +0530] "POST /Airline-Reservation-System/book_seat.jsp HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:08:07 +0530] "GET /Airline-Reservation-System/find_flights.jsp HTTP/1.1" 200 7893
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:08:09 +0530] "GET /Airline-Reservation-System/bookFlight.jsp?flight_id=2 HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:08:17 +0530] "GET /Airline-Reservation-System/bookFlight.jsp?flight_id=6 HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:08:20 +0530] "GET /Airline-Reservation-System/bookFlight.jsp?flight_id=3 HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:08:22 +0530] "GET /Airline-Reservation-System/bookFlight.jsp?flight_id=12 HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:08:30 +0530] "GET /Airline-Reservation-System/my_bookings.jsp HTTP/1.1" 200 5248
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:08:34 +0530] "GET /Airline-Reservation-System/find_flights.jsp HTTP/1.1" 200 7893
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:10:04 +0530] "GET /Airline-Reservation-System/bookFlight.jsp?flight_id=2 HTTP/1.1" 200 5248
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:10:08 +0530] "GET /Airline-Reservation-System/bookFlight.jsp?flight_id=3 HTTP/1.1" 200 5248
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:20:43 +0530] "GET /Airline-Reservation-System/find_flights.jsp HTTP/1.1" 200 7893
0:0:0:0:0:0:0:1 - - [15/Mar/2025:09:20:45 +0530] "GET /Airline-Reservation-System/bookFlight.jsp?flight_id=2 HTTP/1.1" 200 8463
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:08:04 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:08:38 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:08:51 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:08:51 +0530] "GET /Airline-Reservation-System/passengerdash.jsp HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:09:02 +0530] "GET /Airline-Reservation-System/find_flights.jsp HTTP/1.1" 200 7893
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:09:36 +0530] "GET /Airline-Reservation-System/find_flights.jsp?source=kochi&destination=Trivandrum&departure_time= HTTP/1.1" 200 4596
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:09:49 +0530] "GET /Airline-Reservation-System/find_flights.jsp?source=Bengaluru&destination=Latvia&departure_time= HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:10:16 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:10:16 +0530] "GET /Airline-Reservation-System/passengerdash.jsp HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:10:18 +0530] "GET /Airline-Reservation-System/find_flights.jsp HTTP/1.1" 200 7893
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:10:20 +0530] "GET /Airline-Reservation-System/bookFlight.jsp?flight_id=2 HTTP/1.1" 200 8463
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:10:33 +0530] "POST /Airline-Reservation-System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:10:33 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:10:45 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:10:45 +0530] "GET /Airline-Reservation-System/admindash.jsp HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:10:52 +0530] "GET /Airline-Reservation-System/manage_users.jsp HTTP/1.1" 200 3798
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:10:58 +0530] "GET /Airline-Reservation-System/edit_user.jsp?user_id=5 HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:11:04 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 6346
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:11:12 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:11:19 +0530] "GET /Airline-Reservation-System/manage_bookings.jsp HTTP/1.1" 200 3111
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:11:23 +0530] "GET /Airline-Reservation-System/reports.jsp HTTP/1.1" 200 3888
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:11:28 +0530] "GET /Airline-Reservation-System/detailed_report.jsp HTTP/1.1" 200 5330
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:11:36 +0530] "GET /Airline-Reservation-System/reports.jsp HTTP/1.1" 200 3888
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:12:20 +0530] "POST /Airline-Reservation-System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2025:14:12:20 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
